"filename", "language", "Markdown", "HTML", "YAML", "Swift", "JSON", "Dart", "C++", "XML", "CMake", "Properties", "comment", "blank", "total"
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\card_provider.dart", "Dart", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 35, 13, 160
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\folders_provider.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\cards\cards_screen.dart", "Dart", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 7, 13, 138
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\cards\create_edit_card.dart", "Dart", 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 34, 19, 379
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\folders\folder_cards_screen.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\folders\folders_screen.dart", "Dart", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 5, 99
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\home_tab_bar_screen.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\quiz\quiz_screen.dart", "Dart", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 25, 19, 198
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\quiz\quiz_selection_screen.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 2, 6, 58
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 13, 19, 180
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\tabs\words_tab_screen.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\theme\current_app_theme.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\theme\theme_app_data.dart", "Dart", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 5, 5, 115
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_drop_down_color_menu.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 34, 18, 111
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_drop_down_flag_menu.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 55, 13, 141
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_old_card.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 41, 20, 185
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_settings_bar.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_text_button.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\my_widget.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 6, 12, 125
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 25, 129
